update,timesteps,episodes,mean_reward,mean_score,mean_stage,mean_length,policy_loss,value_loss,entropy,learning_rate,explained_var,mean_start_stage,start_stage_t1_frac,start_stage_t2_frac,start_stage_t3_frac,start_stage_t4_frac,eval_mean_reward,eval_mean_score,eval_mean_max_stage,eval_mean_length,eval_over_max_rate
1,4096,1,20518.76140153587,12661.110863084403,4.0,2057.0,-0.0013954418777757382,4143.755585849285,0.4112508818216156,1e-05,0.93654144,2.0,0.0,1.0,0.0,0.0,,,,,
2,8192,1,20518.76140153587,12661.110863084403,4.0,2057.0,-0.000945566940572462,3989.050307571888,0.41853002208517864,9.998394368e-06,0.974014,2.0,0.0,1.0,0.0,0.0,,,,,
3,12288,3,37855.65205306155,23519.10135382041,5.333333333333333,3070.6666666666665,-0.000685842047460028,6835.403312802315,0.400672867835965,9.996788736e-06,0.9758241,2.3333333333333335,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,,,,,
4,16384,5,32415.328374849712,20804.460485671323,6.0,2754.0,-0.0012211401881359052,4891.85185700655,0.3713039878348354,9.995183104e-06,0.93848825,3.4,0.2,0.4,0.2,0.2,,,,,
5,20480,7,32106.40634763239,20606.40076288744,5.714285714285714,2798.714285714286,-0.0006879659522383008,5710.444930434227,0.4701111780013889,9.993577472000002e-06,0.9521903,3.0,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.14285714285714285,,,,,
6,24576,9,29555.832770585024,18831.92556809806,5.444444444444445,2613.1111111111113,-0.0018859554102164111,2792.640223145485,0.46899220475461334,9.991971840000001e-06,0.9277277,2.888888888888889,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.1111111111111111,,,,,
7,28672,10,27598.44254755383,17619.60554648776,5.1,2508.0,-0.0007077506452333182,3612.2768762111664,0.4056133934063837,9.990366208000001e-06,0.96684366,2.7,0.4,0.3,0.2,0.1,,,,,
8,32768,12,27872.971527231,17980.92547988307,5.166666666666667,2488.1666666666665,-0.0007118308985809563,4438.08516150713,0.4608961892663501,9.988760576000001e-06,0.95735747,2.8333333333333335,0.3333333333333333,0.3333333333333333,0.25,0.08333333333333333,,,,,
9,36864,13,31267.69202129797,20064.71292233848,5.3076923076923075,2748.923076923077,-0.0012391750315146055,5533.087136209011,0.34693731865263544,9.987154944e-06,0.9766692,2.6923076923076925,0.38461538461538464,0.3076923076923077,0.23076923076923078,0.07692307692307693,,,,,
10,40960,14,32106.995885036216,20750.00972036656,5.571428571428571,2754.0,-0.0007678858601138927,5078.718042016029,0.34580363976419903,9.985549312e-06,0.9507681,3.0,0.35714285714285715,0.2857142857142857,0.21428571428571427,0.14285714285714285,,,,,
11,45056,15,33914.80261055993,21777.890699402524,5.6,2907.266666666667,-0.0010838876587513369,3095.0452982783318,0.42001821467420086,9.98394368e-06,0.9747834,2.8666666666666667,0.4,0.26666666666666666,0.2,0.13333333333333333,,,,,
12,49152,16,36089.25566719221,23128.331419017908,5.6875,3062.5625,-0.0015375168086393387,3412.3542097210884,0.41029082948807627,9.982338048e-06,0.97519165,2.8125,0.375,0.3125,0.1875,0.125,,,,,
13,53248,17,37904.158316656874,24417.77770342159,5.9411764705882355,3122.705882352941,-0.0006213900696820929,11374.142021656036,0.3679978302970994,9.980732416000002e-06,0.9715065,3.0588235294117645,0.35294117647058826,0.29411764705882354,0.17647058823529413,0.17647058823529413,,,,,
14,57344,19,35497.84489555472,22787.733258463802,5.631578947368421,2978.7894736842104,-0.00044581436850421596,3767.8025974035263,0.39916675913264044,9.979126784000001e-06,0.8485264,2.8947368421052633,0.3684210526315789,0.3157894736842105,0.15789473684210525,0.15789473684210525,,,,,
15,61440,20,34571.77472237355,22300.822297849143,5.75,2895.6,-0.0008579668456150102,12569.594315886497,0.3852115352055989,9.977521152000001e-06,0.9820609,3.1,0.35,0.3,0.15,0.2,,,,,
16,65536,22,34751.59330109673,22485.535063193263,5.818181818181818,2850.318181818182,-0.00037143335066502914,18850.428421020508,0.3725790049356874,9.975915520000001e-06,-0.096435905,3.272727272727273,0.3181818181818182,0.3181818181818182,0.13636363636363635,0.22727272727272727,,,,,
17,69632,23,35716.935936093294,23022.03665411761,5.826086956521739,2944.6521739130435,-0.0009939790470525622,9957.815046191216,0.3308274966548197,9.974309888e-06,0.9561155,3.1739130434782608,0.34782608695652173,0.30434782608695654,0.13043478260869565,0.21739130434782608,,,,,
18,73728,24,36426.26613775699,23590.106320642662,6.041666666666667,2952.2916666666665,-0.00011056298535550013,93541.26226377487,0.37005203156149946,9.972704256e-06,0.8563488,3.4166666666666665,0.3333333333333333,0.2916666666666667,0.125,0.25,,,,,
19,77824,25,38112.977377504605,24773.585616661432,6.28,2997.6,-0.0007426088359352434,36461.43357384205,0.3970813669729978,9.971098624e-06,0.9456316,3.64,0.32,0.28,0.12,0.28,,,,,
20,81920,27,39142.739894289465,25473.104367181822,6.407407407407407,3028.925925925926,-0.00027039662199968006,20605.256163954735,0.40285944851348177,9.969492992e-06,0.97751474,3.740740740740741,0.2962962962962963,0.2962962962962963,0.1111111111111111,0.2962962962962963,,,,,
21,86016,27,39142.739894289465,25473.104367181822,6.407407407407407,3028.925925925926,-0.001957033597136615,2707.5943266153336,0.40696795834810473,9.967887360000001e-06,0.9608019,3.740740740740741,0.2962962962962963,0.2962962962962963,0.1111111111111111,0.2962962962962963,,,,,
22,90112,29,38257.1345296798,24875.379036395458,6.206896551724138,3014.7241379310344,-0.0009636319809942506,3798.6552342176437,0.3646437564166263,9.966281728000001e-06,0.87729,3.5517241379310347,0.3448275862068966,0.27586206896551724,0.10344827586206896,0.27586206896551724,,,,,
23,94208,30,38890.72912862736,25217.028045624327,6.2,3084.3333333333335,-0.0014733910993527388,3694.0565341711044,0.38037837090087123,9.964676096000001e-06,0.96131015,3.466666666666667,0.36666666666666664,0.26666666666666666,0.1,0.26666666666666666,,,,,
24,98304,31,38320.75495507356,24856.73063567348,6.225806451612903,3040.0,-0.0009159238979918882,5613.25495326519,0.3672927432053257,9.963070464e-06,0.91534543,3.5483870967741935,0.3548387096774194,0.25806451612903225,0.0967741935483871,0.2903225806451613,,,,,
25,102400,33,38077.03462320261,24633.235831958933,6.181818181818182,3034.6060606060605,-0.0004979344885214232,47929.426518559456,0.3745559465314727,9.961464832e-06,0.9543942,3.484848484848485,0.36363636363636365,0.24242424242424243,0.12121212121212122,0.2727272727272727,40977.0611704829,26472.027190467383,7.2,2975.4333333333334,0.06666666666666667
26,106496,34,40303.824345267196,26134.71350441459,6.411764705882353,3095.5882352941176,-0.0003410953513593995,138666.4584262371,0.34035305099678226,9.9598592e-06,0.95444286,3.676470588235294,0.35294117647058826,0.23529411764705882,0.11764705882352941,0.29411764705882354,,,,,
27,110592,35,40582.5193567465,26325.73855023046,6.514285714285714,3091.942857142857,-0.0005399555520853028,8605.35944700241,0.4036945625266526,9.958253568e-06,0.9597139,3.8,0.34285714285714286,0.22857142857142856,0.11428571428571428,0.3142857142857143,,,,,
28,114688,37,40084.97342616083,25939.366671977972,6.405405405405405,3086.027027027027,-0.0007907793751655845,2451.254359483719,0.39873194790561683,9.956647936000002e-06,0.97505987,3.675675675675676,0.35135135135135137,0.24324324324324326,0.10810810810810811,0.2972972972972973,,,,,
29,118784,39,38624.26974278783,24978.060464197166,6.256410256410256,3003.6153846153848,-0.00054764727519796,3748.643609881401,0.3456156796310097,9.955042304000001e-06,0.8463337,3.6153846153846154,0.358974358974359,0.23076923076923078,0.1282051282051282,0.28205128205128205,,,,,
30,122880,39,38624.26974278783,24978.060464197166,6.256410256410256,3003.6153846153848,-0.0015401772543555126,3222.3816638588905,0.39594776183366776,9.953436672000001e-06,0.9786096,3.6153846153846154,0.358974358974359,0.23076923076923078,0.1282051282051282,0.28205128205128205,,,,,
31,126976,40,39934.943793254206,25782.79494647112,6.3,3100.45,-0.0011345327966409968,6383.437597095966,0.384378526621731,9.951831040000001e-06,0.970421,3.55,0.375,0.225,0.125,0.275,,,,,
32,131072,40,39934.943793254206,25782.79494647112,6.3,3100.45,-0.0007216905578388833,21214.81985116005,0.36994654673617333,9.950225408e-06,0.961044,3.55,0.375,0.225,0.125,0.275,,,,,
33,135168,43,40028.61887233089,25823.15576329977,6.372093023255814,3071.6279069767443,-0.0013543452441808768,3346.8735496997833,0.43673828936880454,9.948619776e-06,0.9175369,3.6511627906976742,0.3488372093023256,0.23255813953488372,0.13953488372093023,0.27906976744186046,,,,,
34,139264,45,39816.13609331179,25642.01668869947,6.288888888888889,3087.3333333333335,-0.0008054440368141513,4176.003732204437,0.40035413985606283,9.947014144e-06,0.96789557,3.533333333333333,0.37777777777777777,0.2222222222222222,0.13333333333333333,0.26666666666666666,,,,,
35,143360,47,39015.55883644344,25207.880876839572,6.319148936170213,3032.063829787234,-0.0004517053039307939,22939.21108174324,0.40280527068534866,9.945408512e-06,0.9148073,3.6382978723404253,0.3617021276595745,0.23404255319148937,0.1276595744680851,0.2765957446808511,,,,,
36,147456,51,36596.904491921305,23664.372863418208,6.2745098039215685,2878.764705882353,-0.0011187733161932556,4099.259175121784,0.4258247487596236,9.943802880000002e-06,0.81434214,3.764705882352941,0.35294117647058826,0.23529411764705882,0.11764705882352941,0.29411764705882354,,,,,
