episode,steps,reward,score,episode_length,epsilon,learning_rate,loss,max_stage,fuel_pickups,crashes,mean_reward_100,mean_score_100,mean_stage_100,action_entropy
1,761,-193.5327226848839,1456.637143422954,761,0.9925802308366087,0.0003,0,1,0,1,-193.5327226848839,1456.637143422954,1.0,0.996821773985793
2,1382,1.8543300768960744,1342.3961628069167,621,0.9865592221845307,0.0003,0.077190654242883,1,0,2,-95.83919630399392,1399.5166531149353,1.0,0.9984172126853322
3,2203,2.695933596319374,1369.1512509049337,821,0.9786562570333126,0.0003,0.014096518013689862,1,0,1,-62.99415300388949,1389.394852378268,1.0,0.9989905231546715
4,2939,43.25114263605263,1617.1380477436753,736,0.9716264484107433,0.0003,0.022777456758890563,1,0,2,-36.432829093903955,1446.33065121962,1.0,0.9960732994117341
5,3719,31.618988141056562,1754.2296116018804,780,0.9642326354702012,0.0003,0.024883858246418335,1,0,2,-22.822465646911855,1507.9104432960721,1.0,0.9970208097978868
6,4540,41.8831837744207,2018.6923221916763,821,0.956512221199156,0.0003,0.02949014329663438,1,0,1,-12.038190743356429,1593.0407564453392,1.0,0.9959798840422021
7,4981,1.0058938795066883,867.3824924228345,441,0.9523912956232417,0.0003,0.022732134896294633,1,0,3,-10.174750082947412,1489.37529015641,1.0,0.9913653234796121
8,5542,-6.416277846507932,1163.8016436156943,561,0.947175225212348,0.0003,0.03367448216943326,1,0,2,-9.704941053392476,1448.6785843388207,1.0,0.997404845836188
9,6303,6.052403621468853,1452.698810127765,761,0.940146201107298,0.0003,0.03820661857966505,1,0,1,-7.954124978407884,1449.125276093148,1.0,0.9988299829203744
10,6924,25.867608903322463,1314.2405553972326,621,0.9344497988338545,0.0003,0.027651011860582997,1,0,2,-4.57195159023485,1435.6368040235561,1.0,0.9980902312715335
11,7925,14.888844130712435,1614.6276887606173,1001,0.9253418178439722,0.0003,0.02685490821406327,1,0,0,-2.802788342876006,1451.9087026360164,1.0,0.99880574006659
12,8946,26.176861516368103,2223.9747165570784,1021,0.9161453059669539,0.0003,0.022854326244527573,1,1,2,-0.38781752127233,1516.2475371294383,1.0,0.9985320410078024
13,9587,25.06061599250693,1703.2525472064244,641,0.9104193857356323,0.0003,0.0266363911458557,1,0,2,1.5697542874799206,1530.632537904591,1.0,0.998062269855046
14,10619,34.77493937166762,2478.726176692236,1032,0.901277510884894,0.0003,0.028860128751564264,1,1,2,3.9415532220647562,1598.3535121037087,1.0,0.9972001498977151
15,11200,-7.47134407977032,1022.5007017509993,581,0.8961721340278819,0.0003,0.03176026580945016,1,0,2,3.1806934019424182,1559.9633247468614,1.0,0.9967794792561979
16,11953,-8.617878204159352,1479.7651403421528,753,0.8895993355020384,0.0003,0.04243123481250498,1,0,2,2.4432826765610574,1554.950938221567,1.0,0.9970861233746301
17,12594,-9.851947638459704,1215.370140503065,641,0.8840430307430438,0.0003,0.03816175681804764,1,0,2,1.7200338345010127,1534.9755971793022,1.0,0.9979873519392677
18,13193,-31.529788264567,955.4309163532376,599,0.8788828830600788,0.0003,0.03651245977326867,1,0,3,-0.12717850433609917,1502.778670466743,1.0,0.9956113274166454
19,13787,0.4157165693949807,1018.1027561169145,594,0.8737962410178122,0.0003,0.03978631229912831,1,0,2,-0.09860507940288443,1477.2694118167522,1.0,0.9940554155398293
20,14311,37.917655543569836,1655.1969878314112,524,0.8693340498657809,0.0003,0.04243332381584177,1,1,3,1.8022079517457517,1486.1657906174848,1.0,0.9963278250364616
21,15498,39.43808724324575,2517.673391969046,1187,0.8593120529178421,0.0003,0.0488514258767923,1,2,3,3.594392679912418,1535.2852002056545,1.0,0.9952780055607272
22,16519,47.85802301276517,2525.381258635242,1021,0.8507862750171092,0.0003,0.04347414228185851,1,1,2,5.6063758768602705,1580.2895664979085,1.0,0.9978448265510079
23,17320,8.321375303647562,1373.4425622073477,801,0.8441582576017878,0.0003,0.04421464365891898,1,0,1,5.724419330198849,1571.2962184852754,1.0,0.9986754515205263
24,17835,-4.510032810397888,1107.9287886980912,515,0.8399247532058804,0.0003,0.038698212825015045,1,1,3,5.297983824340651,1551.9892422441428,1.0,0.9932101904673029
25,18396,-19.339808738493232,918.6010124170409,561,0.8353378536236641,0.0003,0.05009292510592125,1,0,2,4.3124721218272954,1526.6537130510585,1.0,0.9962875807844694
26,19157,-4.501157464829175,1484.7650932726983,761,0.8291566817469372,0.0003,0.04650031100241431,1,0,1,3.9734863684943544,1525.0426122903523,1.0,0.9924006396297365
27,19798,1.0395730132783463,1322.9208457393918,641,0.8239865753105433,0.0003,0.048819675780803706,1,0,2,3.8648229108937615,1517.5566209366134,1.0,0.9931289403902274
28,21525,86.12992829261069,5314.704742076762,1727,0.8102209355890553,0.0003,0.045035418796018155,2,3,1,6.8028623888122235,1653.1690538344758,1.0357142857142858,0.9972962379651125
29,22234,-2.6954050979179787,1658.8336076161734,709,0.8046380837520841,0.0003,0.04670995774669691,1,1,3,6.475335923752561,1653.3643832752239,1.0344827586206897,0.997427765900386
30,22795,-28.755513421586226,952.84520723986,561,0.8002485881496143,0.0003,0.05068939358889127,1,0,2,5.300974278907934,1630.013744074045,1.0333333333333334,0.994386820799614
31,23816,2.267451139479777,2467.615636678009,1021,0.7923227801658045,0.0003,0.05006902660247774,1,1,2,5.203118693765091,1657.0331599644956,1.032258064516129,0.9946825802623511
32,24470,-2.4750695825876052,1594.5259188968325,654,0.7872882699763315,0.0003,0.051825836586370064,1,0,2,4.96317531012907,1655.079808681131,1.03125,0.994404075547997
33,25111,-11.767852225985262,1609.7392607258223,641,0.7823856817475479,0.0003,0.05093179744931284,1,0,2,4.456174475701362,1653.7058526824853,1.0303030303030303,0.9849765613871199
34,25752,-23.77178914960544,1256.8060935725039,641,0.7775144186051517,0.0003,0.06178046458701541,1,0,2,3.6259402514276324,1642.0323303557213,1.0294117647058822,0.9942755560319343
35,26693,-8.242441550264736,2546.631886115081,941,0.7704196412060841,0.0003,0.0609823292790339,1,1,2,3.2868436285221367,1667.8780319488458,1.0285714285714285,0.9930441057103083
36,28624,21.58197994616455,4886.243578809924,1931,0.7560680485062993,0.0003,0.057533787822920936,2,3,1,3.7950418595677586,1757.2770749172091,1.0555555555555556,0.9915567350836983
37,29354,-11.417045731257264,1526.0114154384285,730,0.7507143166484941,0.0003,0.057977548894816884,1,0,2,3.383904357113029,1751.0266516880529,1.054054054054054,0.9940976575097246
38,30475,-18.342365918231078,2243.9137702633566,1121,0.742568750358181,0.0003,0.05800600970507891,1,1,1,2.8121604024987104,1763.9973653347713,1.0526315789473684,0.9941039911821176
39,30895,-10.918154915670744,1051.1048493643355,420,0.7395403257501364,0.0003,0.07775373997033706,1,1,3,2.46010103536616,1745.718070053478,1.0512820512820513,0.9907743853634703
40,31476,-21.868632370575412,1207.9919758901488,581,0.7353719174095185,0.0003,0.07914092045008059,1,0,2,1.851882700217621,1732.2749176993948,1.05,0.9873246549676883
41,32281,13.405845069504101,1923.1055758354562,805,0.7296362903468467,0.0003,0.07584808897689818,1,0,1,2.1336866604441203,1736.9293239953965,1.048780487804878,0.988900319192014
42,33042,-13.400812131804578,1407.5412391010545,761,0.7242564544161316,0.0003,0.06936523845999376,1,0,1,1.7638176415810563,1729.086750545531,1.0476190476190477,0.9938324615436643
43,33863,8.183388271741169,2107.486539673972,821,0.718498178990243,0.0003,0.06367038648198932,1,0,1,1.9131099818173378,1737.8867456415414,1.0465116279069768,0.9931181521526795
44,34831,0.28694764134988204,2177.480039762738,968,0.7117693367563365,0.0003,0.06757960619389518,1,1,2,1.876151746806714,1747.8775023261142,1.0454545454545454,0.9953741130388475
45,35472,-8.717076440826878,1329.1970484400622,641,0.7073492767344106,0.0003,0.06681273490126577,1,0,2,1.6407466759704117,1738.5734922397571,1.0444444444444445,0.9860995274813247
46,36204,-15.846609574870993,1464.834238702158,732,0.7023362500903784,0.0003,0.06848448389744172,1,0,2,1.2605867574738594,1732.6226389019835,1.0434782608695652,0.989422970029073
47,37944,47.15789043813645,5508.009164209584,1740,0.6905662949034035,0.0003,0.06978268706261169,2,4,3,2.23712513365817,1812.9500117808684,1.0638297872340425,0.9894489931615197
48,38921,6.69819126673362,2427.0099900893724,977,0.6840467619794751,0.0003,0.06867035551276916,1,2,3,2.3300640114305753,1825.7429279956289,1.0625,0.9919831223438607
49,39562,-20.82123295673005,1402.2136621004026,641,0.6798038353428633,0.0003,0.09654097559363486,1,0,2,1.8575885631007663,1817.0994735896038,1.0612244897959184,0.9951963675178161
50,40383,-10.351563448795321,1787.5656536122913,821,0.6744090218666963,0.0003,0.08341822075009818,1,0,1,1.6134055228628446,1816.5087971900577,1.06,0.9854530033052995
51,41413,-8.671420769869206,2469.526384597774,1030,0.6677032031925615,0.0003,0.08058122576765933,1,1,2,1.4117422622210398,1829.313063609817,1.0588235294117647,0.9920207917879331
52,42263,-0.8458261735692627,1701.137261271252,850,0.6622210580891564,0.0003,0.07954677022555295,1,0,1,1.3683274846096878,1826.8481443340752,1.0576923076923077,0.9870414774718503
53,43034,-9.076414256911308,1868.789529738874,771,0.6572885728956145,0.0003,0.08166876190792571,1,0,2,1.1712568857130652,1827.6394912285054,1.0566037735849056,0.9873973570805865
54,43675,-3.5229401798733626,1718.1909227897506,641,0.6532166177021477,0.0003,0.07731162214741785,1,0,2,1.0843273104244278,1825.6126658870471,1.0555555555555556,0.9884521800206539
55,44256,-6.688092617926131,1556.4840512553774,581,0.6495482959470108,0.0003,0.07997007077005203,1,0,2,0.9430105844544175,1820.7194183482895,1.0545454545454545,0.9917319609308898
56,45057,-9.628106196153125,1795.362049091955,801,0.644525756221933,0.0003,0.09009066901022054,1,0,1,0.7542406419435685,1820.2666081829977,1.0535714285714286,0.9872503985604064
57,45710,4.1107027386325665,1858.2769273153224,653,0.6404608892685284,0.0003,0.08714382317784324,1,0,2,0.8131259418854808,1820.9334558870735,1.0526315789473684,0.9826035289733783
58,47179,71.39345160572444,5932.864519293675,1469,0.6314129387108053,0.0003,0.08662699396202786,2,3,2,2.0300281085033935,1891.8288190492563,1.0689655172413792,0.9792243501141167
59,47920,-24.93349892809916,1288.7978115307653,741,0.6268991132122101,0.0003,0.09010711707697626,1,0,1,1.5730191756796217,1881.6079545150446,1.0677966101694916,0.98408404233011
60,48776,-8.973345224755699,2453.1671922127075,856,0.6217262283366671,0.0003,0.0873056420856199,1,1,3,1.3972464356723664,1891.1339418100058,1.0666666666666667,0.9927316426604198
61,50075,-11.195730717021316,2966.851629528967,1299,0.6139603531905532,0.0003,0.09278220652363868,1,2,3,1.1908041872675519,1908.7686580021198,1.0655737704918034,0.9950626292520834
62,50829,2.434621655502607,2107.641180835295,754,0.6094987335709601,0.0003,0.09313665702444963,1,1,3,1.2108657593358594,1911.9762793381387,1.064516129032258,0.9894451750501195
63,51203,-18.72427075140841,863.944252973191,374,0.6072981260086471,0.0003,0.09916300636362584,1,0,3,0.8944350210700772,1895.340850348219,1.0634920634920635,0.9769887363054368
64,52195,-0.16324774601361725,2613.4824698235925,992,0.6015009302297241,0.0003,0.09761803901393808,1,2,3,0.8779087278343944,1906.5618131525216,1.0625,0.9828673942414463
65,52816,-22.299591324624163,1356.8628034046965,621,0.5979009988090608,0.0003,0.09414612225612293,1,0,2,0.5213318039504167,1898.1049053102474,1.0615384615384615,0.9784442260868501
66,53447,-1.2158017200386115,1699.274789256217,631,0.5942659242280783,0.0003,0.10072214238156701,1,0,2,0.495011599041492,1895.0923277942773,1.0606060606060606,0.9821246712369905
67,54428,-10.601846444981765,1826.3175334794273,981,0.5886599179305666,0.0003,0.10020674773084644,1,0,0,0.32938685211577173,1894.0658383268915,1.0597014925373134,0.9949186144713319
68,55069,8.062876971121485,1975.8455938294373,641,0.5850264655125942,0.0003,0.10406451482854656,1,0,2,0.4431146479835028,1895.268481790164,1.0588235294117647,0.9802279983263847
69,55466,-13.181304764058996,1016.343944667738,397,0.5827877572208058,0.0003,0.10414079839471606,1,1,3,0.24565929418578544,1882.5304450202739,1.0579710144927537,0.9739065243356347
70,56167,3.4979266579249164,2038.7550407845122,701,0.5788564105117873,0.0003,0.10483965846562436,1,0,1,0.29212025652491586,1884.762224959763,1.0571428571428572,0.9728583826584603
71,56657,-13.521507676722468,1146.7131611870727,490,0.5761247122267488,0.0003,0.10704878760995913,1,1,3,0.09756211662002312,1874.367167723528,1.056338028169014,0.9836228858934942
72,57298,-6.761059821000886,1542.8198769696678,641,0.5725713535028071,0.0003,0.11406375928643898,1,0,2,0.002303478597510488,1869.7623442408355,1.0555555555555556,0.9889719541890755
73,57939,-23.17667623904884,1447.5750092626477,641,0.5690406989636344,0.0003,0.10659816596430383,1,0,2,-0.31521679150723403,1863.9789560904494,1.0547945205479452,0.9833101322556532
74,58580,-15.290083398022922,1351.6800029308135,641,0.5655326035408471,0.0003,0.11813405273531603,1,0,2,-0.5175798537574461,1857.0559972639678,1.054054054054054,0.9803102597694678
75,59471,-2.6508762786331683,2449.809581029108,891,0.5606934982711801,0.0003,0.11498602686656846,1,1,3,-0.5460238060891224,1864.9593783808364,1.0533333333333332,0.9760960799975009
76,61128,33.631655776838926,5632.228243646242,1657,0.5518080264412312,0.0003,0.1173787237705374,2,3,2,-0.09631749578743751,1914.528705555381,1.0657894736842106,0.972874426259299
77,61689,-21.45287127417927,1311.9948168670662,561,0.5488329363433108,0.0003,0.11288693895540242,1,0,2,-0.3736753370652535,1906.7035901178704,1.0649350649350648,0.9954049696829113
78,62593,-20.2389621940008,2214.313794737956,904,0.5440738301687796,0.0003,0.11700115030408895,1,1,3,-0.6283585018977604,1910.647310689923,1.064102564102564,0.9878181780849653
79,63239,-16.78836889214758,1194.3693969309054,646,0.5406992249364213,0.0003,0.1174513842310791,1,0,2,-0.8329155954452266,1901.580501654999,1.0632911392405062,0.978257071402131
