update,timesteps,episodes,mean_reward,mean_score,mean_stage,mean_length,policy_loss,value_loss,entropy,learning_rate,explained_var,mean_start_stage,start_stage_t1_frac,start_stage_t2_frac,start_stage_t3_frac,start_stage_t4_frac,eval_mean_reward,eval_mean_score,eval_mean_max_stage,eval_mean_length,eval_over_max_rate
5002,20488192,1,81651.54527894077,51303.452691787774,8.0,5791.0,-0.00012671777767536696,5040.037021279335,0.38586911823949777,1.9702343680000012e-06,0.9878119,2.0,0.0,1.0,0.0,0.0,,,,,
5003,20492288,1,81651.54527894077,51303.452691787774,8.0,5791.0,-1.1401362826291006e-05,47513.71213912964,0.41018393635749817,1.968628736000001e-06,0.93368584,2.0,0.0,1.0,0.0,0.0,,,,,
5004,20496384,2,102946.49559542089,65042.18755108358,9.0,6805.5,-5.776226953457808e-05,39800.922151088715,0.3620774358860217,1.967023103999999e-06,0.9736003,2.5,0.0,1.0,0.0,0.0,,,,,
5005,20500480,3,100389.16746023456,63727.66732401858,10.0,6048.333333333333,-3.0391045584110543e-05,58910.63871526718,0.3919225736462977,1.965417471999999e-06,0.98356026,4.333333333333333,0.0,0.6666666666666666,0.0,0.3333333333333333,,,,,
5006,20504576,4,101263.97914959912,65089.1652380037,10.75,5767.25,-4.484513056013384e-05,127331.84332847595,0.368990910530556,1.9638118400000003e-06,0.94371676,5.5,0.0,0.5,0.0,0.5,,,,,
5007,20508672,8,55858.48488987954,36091.84175386974,7.0,3487.375,-0.00010902428948611487,24167.916566371918,0.43720914609730244,1.962206208e-06,0.8527438,4.0,0.125,0.5,0.125,0.25,,,,,
5008,20512768,10,49614.58201738719,32527.497162818705,7.4,3164.9,-2.6032508685602807e-05,57587.76151180267,0.37319892935920507,1.960600576e-06,0.93587637,4.8,0.1,0.4,0.1,0.4,,,,,
5009,20516864,10,49614.58201738719,32527.497162818705,7.4,3164.9,-8.274949323094916e-05,6350.927920222282,0.39450578339165077,1.9589949439999997e-06,0.9749643,4.8,0.1,0.4,0.1,0.4,,,,,
5010,20520960,12,47597.04219507038,31171.84970637618,7.416666666666667,3193.0833333333335,-2.1594723875750788e-05,39155.89939785004,0.3704670867009554,1.9573893119999994e-06,0.9586048,4.75,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.4166666666666667,,,,,
5011,20525056,14,46699.94221943203,30647.3279143451,7.357142857142857,3213.5714285714284,-8.06669313533348e-05,5697.468851566315,0.3653218091640156,1.955783680000001e-06,0.95987165,4.642857142857143,0.21428571428571427,0.2857142857142857,0.07142857142857142,0.42857142857142855,,,,,
5012,20529152,15,47543.93290421578,31044.299813630067,7.466666666666667,3221.3333333333335,-0.00011183825608895859,8813.29394865036,0.38579414831474423,1.9541780480000007e-06,0.9845291,4.733333333333333,0.2,0.26666666666666666,0.06666666666666667,0.4666666666666667,,,,,
5013,20533248,17,44312.924388539934,28899.276129907004,7.117647058823529,3077.3529411764707,-6.837556065875106e-05,15872.958660960197,0.38783394306665286,1.9525724160000005e-06,0.85190296,4.529411764705882,0.17647058823529413,0.29411764705882354,0.11764705882352941,0.4117647058823529,,,,,
5014,20537344,18,43115.89575695489,28120.01463196,6.944444444444445,3044.9444444444443,-0.00013301195485837525,4928.07193505764,0.41314401431009173,1.9509667840000003e-06,0.93713415,4.388888888888889,0.16666666666666666,0.3333333333333333,0.1111111111111111,0.3888888888888889,,,,,
5015,20541440,19,44657.85464508989,28974.254400588736,6.947368421052632,3197.0,-0.0001230686975759454,8438.0575735569,0.4234494155389257,1.949361152e-06,0.97694373,4.2105263157894735,0.21052631578947367,0.3157894736842105,0.10526315789473684,0.3684210526315789,,,,,
5016,20545536,20,43575.7016192927,28317.836789243058,7.1,3106.65,-8.848195739119546e-05,10785.71010184288,0.41844611504347995,1.94775552e-06,0.98424095,4.45,0.2,0.3,0.1,0.4,,,,,
5017,20549632,23,41438.30999712675,26920.65244111997,7.0,2980.8260869565215,-4.4280356632953044e-05,20247.111767053604,0.43616374116390944,1.9461498879999996e-06,0.96532893,4.478260869565218,0.17391304347826086,0.34782608695652173,0.08695652173913043,0.391304347826087,,,,,
5018,20553728,24,42165.03833955043,27297.93256320101,7.0,3027.25,-0.0002221853628725512,3088.0370671749115,0.4272292612877209,1.9445442559999994e-06,0.9928762,4.416666666666667,0.16666666666666666,0.375,0.08333333333333333,0.375,,,,,
5019,20557824,24,42165.03833955043,27297.93256320101,7.0,3027.25,-0.00021564401140494738,7006.242275953293,0.4129496678360738,1.942938624000001e-06,0.98173636,4.416666666666667,0.16666666666666666,0.375,0.08333333333333333,0.375,,,,,
