update,timesteps,episodes,mean_reward,mean_score,mean_stage,mean_length,policy_loss,value_loss,entropy,learning_rate,explained_var,mean_start_stage,start_stage_t1_frac,start_stage_t2_frac,start_stage_t3_frac,start_stage_t4_frac,eval_mean_reward,eval_mean_score,eval_mean_max_stage,eval_mean_length,eval_over_max_rate
4,16384,1,301729.2350355358,153707.2084446283,14.0,12713.0,-0.0031499152873948333,71876.51706564426,0.7787116339895874,1.9990317056e-05,0.9601594,2.0,0.0,1.0,0.0,0.0,,,,,
5,20480,3,148154.87857908744,75931.41410114116,12.0,6594.333333333333,-0.0012985190246581624,415205.6991853714,0.7127344883047044,1.9987089408000003e-05,0.8916274,6.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,,,,,
6,24576,3,148154.87857908744,75931.41410114116,12.0,6594.333333333333,-0.0025835610376816476,5515.820456504822,0.6922842840431258,1.998386176e-05,0.9829597,6.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,,,,,
7,28672,3,148154.87857908744,75931.41410114116,12.0,6594.333333333333,-0.0010809460682139616,15281.33014035225,0.6845165267586708,1.9980634112e-05,0.9776831,6.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,,,,,
8,32768,5,123328.65633113388,63501.63240293673,10.4,5906.0,-0.002000207343371585,16486.93685555458,0.675996306235902,1.9977406464000003e-05,0.98144996,5.0,0.4,0.2,0.0,0.4,,,,,
9,36864,6,124630.26146214672,64087.85787103621,10.666666666666666,5790.166666666667,-0.0016500006549904356,50666.76110625267,0.738986479002051,1.9974178816e-05,0.9128212,5.5,0.3333333333333333,0.16666666666666666,0.0,0.5,,,,,
10,40960,7,111201.756613453,57323.75350253178,9.857142857142858,5288.571428571428,-0.004739066970614658,3224.522193312645,0.7753810707945377,1.9970951168e-05,0.95781136,5.142857142857143,0.2857142857142857,0.2857142857142857,0.0,0.42857142857142855,,,,,
11,45056,8,110220.1641781284,56718.65438928001,9.625,5370.375,-0.0016155497060026391,13311.086591005325,0.7653339646058157,1.9967723520000003e-05,0.95167303,4.75,0.25,0.375,0.0,0.375,,,,,
12,49152,9,103831.28352722841,53585.631620024236,9.555555555555555,5069.111111111111,-0.003611917473790527,5179.86424601078,0.772764366818592,1.9964495872e-05,0.9588863,5.0,0.2222222222222222,0.3333333333333333,0.0,0.4444444444444444,,,,,
13,53248,10,105411.89631646304,54390.67102319958,9.5,5192.7,-0.002338505610168795,8579.310339808464,0.7399241275852546,1.9961268224e-05,0.9726507,4.8,0.2,0.4,0.0,0.4,,,,,
14,57344,11,100626.27192055904,51867.42553216364,9.090909090909092,5107.545454545455,-0.004743544261145871,2351.4104991555214,0.7781718355836347,1.9958040576000003e-05,0.97916675,4.454545454545454,0.2727272727272727,0.36363636363636365,0.0,0.36363636363636365,,,,,
15,61440,12,98128.01231662788,50596.758118520964,8.833333333333334,5119.416666666667,-0.0036157957783871097,5692.33603477478,0.7533830584725365,1.9954812928e-05,0.93962944,4.166666666666667,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,,,,,
