update,timesteps,episodes,mean_reward,mean_score,mean_stage,mean_length,policy_loss,value_loss,entropy,learning_rate,explained_var,mean_start_stage,start_stage_t1_frac,start_stage_t2_frac,start_stage_t3_frac,start_stage_t4_frac,eval_mean_reward,eval_mean_score,eval_mean_max_stage,eval_mean_length,eval_over_max_rate
1,16384,7,22076.460170905022,13948.595457428048,5.571428571428571,2201.714285714286,-0.00013776106425211765,11172.50762462616,0.4105614364380017,1e-05,0.90604806,3.5714285714285716,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.2857142857142857,,,,,
2,32768,11,24101.93001726754,14902.032436607416,5.090909090909091,2390.5454545454545,-0.00011664804515021387,9697.428749084473,0.3755822347011417,9.993577472000002e-06,0.9547544,3.0,0.45454545454545453,0.2727272727272727,0.09090909090909091,0.18181818181818182,,,,,
3,49152,20,27828.12803816718,17347.42584907478,5.95,2437.05,-7.278062457771739e-05,18362.861980438232,0.37412213801871985,9.987154944e-06,0.9479275,3.85,0.4,0.15,0.2,0.25,,,,,
4,65536,27,26575.05632914549,16748.284440999774,6.111111111111111,2342.4814814814813,-0.00014051967809791677,13583.168613433838,0.39356860192492604,9.980732416000002e-06,0.96091145,4.111111111111111,0.37037037037037035,0.14814814814814814,0.14814814814814814,0.3333333333333333,,,,,
5,81920,34,27195.185815256325,17107.958434774955,6.0,2397.8823529411766,-9.305923958891071e-05,10382.99063873291,0.4034154088003561,9.974309888e-06,0.9717007,3.9411764705882355,0.38235294117647056,0.14705882352941177,0.17647058823529413,0.29411764705882354,,,,,
6,98304,43,24463.259357075338,15314.037025197886,5.651162790697675,2218.5581395348836,-0.00017259742162423208,7377.91619682312,0.3926127186277881,9.967887360000001e-06,0.95442635,3.7906976744186047,0.37209302325581395,0.16279069767441862,0.18604651162790697,0.27906976744186046,,,,,
7,114688,50,25457.720005005696,15998.623240957064,5.64,2253.36,-0.00010609225046209758,14097.892583847046,0.3905767782125622,9.961464832e-06,0.9724354,3.76,0.32,0.2,0.22,0.26,,,,,
8,131072,54,26880.757395248776,16850.050774405663,5.611111111111111,2399.0555555555557,-0.00014715223551320378,7511.952749252319,0.39567428594455123,9.955042304000001e-06,0.9667268,3.5555555555555554,0.37037037037037035,0.18518518518518517,0.2037037037037037,0.24074074074074073,,,,,
9,147456,59,27755.32616916099,17360.664558731187,5.711864406779661,2445.322033898305,-0.00017927110093296506,10814.72239112854,0.3635146024171263,9.948619776e-06,0.9663289,3.610169491525424,0.3728813559322034,0.1864406779661017,0.1864406779661017,0.2542372881355932,,,,,
10,163840,67,27169.026123727046,16979.8742686078,5.656716417910448,2425.089552238806,-0.00016410842545155901,9218.906518936157,0.3768129759700969,9.942197248000001e-06,0.9590974,3.5671641791044775,0.3880597014925373,0.1791044776119403,0.1791044776119403,0.2537313432835821,,,,,
11,180224,71,28085.574359140042,17603.64326452686,5.732394366197183,2460.1267605633802,-0.00013292714993440313,13534.98359298706,0.36534232122357935,9.93577472e-06,0.97978634,3.6056338028169015,0.36619718309859156,0.18309859154929578,0.2112676056338028,0.23943661971830985,,,,,
12,196608,76,29677.21342484952,18633.09678798408,5.776315789473684,2580.1710526315787,-8.585314753872808e-05,13666.597074508667,0.3890817187493667,9.929352192000001e-06,0.968657,3.513157894736842,0.39473684210526316,0.17105263157894737,0.19736842105263158,0.23684210526315788,,,,,
13,212992,84,29114.084507052954,18323.29003335554,5.821428571428571,2520.7738095238096,-0.00010015355110226665,17098.519342422485,0.3972630718490109,9.922929664e-06,0.9674523,3.630952380952381,0.38095238095238093,0.16666666666666666,0.19047619047619047,0.2619047619047619,,,,,
14,229376,92,28149.409033587322,17724.303249090244,5.804347826086956,2465.521739130435,-0.00019117259034828749,18226.618711471558,0.4102911240188405,9.916507136000001e-06,0.87224036,3.6847826086956523,0.3804347826086957,0.16304347826086957,0.18478260869565216,0.2717391304347826,,,,,
15,245760,99,27496.94218704877,17294.8332287121,5.6767676767676765,2425.5757575757575,-0.0001329224705841625,5595.97939491272,0.39677717292215675,9.910084608e-06,0.9785566,3.595959595959596,0.3838383838383838,0.18181818181818182,0.1717171717171717,0.26262626262626265,,,,,
16,262144,108,27819.38964003408,17514.816963716316,5.69,2431.68,-7.688657206017524e-05,21504.974716186523,0.40013668476603925,9.903662080000001e-06,0.94047785,3.61,0.37,0.2,0.16,0.27,,,,,
17,278528,116,27075.36410991526,17018.223802005683,5.52,2382.57,-0.0001352122453681659,5084.33935880661,0.3647282839519903,9.897239552e-06,0.9782197,3.48,0.36,0.24,0.15,0.25,,,,,
18,294912,122,26800.661257308573,16789.39453311475,5.35,2394.17,-0.00030165208227117546,4958.735050678253,0.38941969093866646,9.890817024000001e-06,0.9770257,3.29,0.38,0.25,0.14,0.23,,,,,
19,311296,126,27992.014468701844,17505.204429055404,5.33,2468.62,-0.00012601657181221526,7818.421033859253,0.3735665208660066,9.884394496e-06,0.9821205,3.18,0.39,0.26,0.14,0.21,,,,,
20,327680,132,28485.734126442676,17808.454446204367,5.33,2493.02,-0.00011194618855370209,23133.375042915344,0.4042861465131864,9.877971968000001e-06,0.9691971,3.15,0.4,0.27,0.12,0.21,,,,,
21,344064,137,29714.137060233337,18643.539920413048,5.36,2573.7,-0.00019440163305262104,32405.50308227539,0.3912382747512311,9.87154944e-06,0.9376279,3.1,0.4,0.29,0.11,0.2,,,,,
22,360448,140,31200.27747357657,19571.530455310043,5.43,2689.89,-0.00015049280409584753,7980.148267745972,0.3977159725036472,9.865126912000001e-06,0.974351,3.04,0.42,0.28,0.1,0.2,,,,,
23,376832,146,30986.25430858959,19430.02271837639,5.41,2682.97,-5.6856089940993115e-05,22661.907793045044,0.41198638803325593,9.858704384e-06,0.90554523,3.02,0.42,0.29,0.1,0.19,,,,,
24,393216,151,31724.061424664305,19861.220128839508,5.44,2741.18,-0.00013963722631160636,28501.685691833496,0.3927290018182248,9.852281856e-06,0.9640895,2.99,0.44,0.28,0.09,0.19,,,,,
25,409600,157,32123.010980735944,20218.14793557057,5.55,2718.03,-0.00010077727711177431,35291.443340301514,0.3872723684180528,9.845859328000002e-06,0.9626248,3.14,0.42,0.27,0.1,0.21,36396.98414064327,23340.547936059327,7.0,2762.5333333333333,0.06666666666666667
26,425984,164,31342.454408501097,19757.029461528033,5.52,2671.26,-0.00015405121121148113,43184.70883178711,0.4177877383772284,9.8394368e-06,0.9370066,3.16,0.42,0.27,0.09,0.22,,,,,
27,442368,171,31013.894498878628,19531.161438206815,5.44,2663.31,-0.00011630489825620316,9731.289323806763,0.37583511497359723,9.833014272000002e-06,0.93462,3.09,0.45,0.26,0.07,0.22,,,,,
