update,timesteps,episodes,mean_reward,mean_score,mean_stage,mean_length,policy_loss,value_loss,entropy,learning_rate,explained_var,mean_start_stage,start_stage_t1_frac,start_stage_t2_frac,start_stage_t3_frac,start_stage_t4_frac,eval_mean_reward,eval_mean_score,eval_mean_max_stage,eval_mean_length,eval_over_max_rate
1,4096,5,1599.5966214861778,1366.1653602621982,1.2,688.2,-0.04455077553939191,19894.740936279297,1.8634767646435648,0.0003,0.0017223358,1.2,0.8,0.2,0.0,0.0,,,,,
2,8192,9,2214.6723665147565,1654.3457155437295,1.1111111111111112,764.4444444444445,-0.031797095809452,29678.656160354614,1.844654917018488,0.00029995972266666667,-0.06698501,1.1111111111111112,0.8888888888888888,0.1111111111111111,0.0,0.0,,,,,
3,12288,15,2633.628210232836,1834.7197485514557,1.2666666666666666,784.6666666666666,-0.031746484030009015,10832.31225824356,1.816256994381547,0.0002999194453333333,-0.22336078,1.2,0.8666666666666667,0.13333333333333333,0.0,0.0,,,,,
4,16384,19,2939.002658344618,2013.9428726091508,1.263157894736842,845.4736842105264,-0.03149239957656391,19933.993118286133,1.8101391573436558,0.000299879168,0.04074353,1.1578947368421053,0.8947368421052632,0.10526315789473684,0.0,0.0,,,,,
5,20480,26,2717.9098255258873,1886.2509599092891,1.5,787.4615384615385,-0.0358478227053638,19305.696689605713,1.7908950243145227,0.00029983889066666664,0.27972162,1.4230769230769231,0.6923076923076923,0.3076923076923077,0.0,0.0,,,,,
6,24576,30,2810.622020868225,1942.6520995765572,1.5666666666666667,802.5666666666667,-0.0379675246822444,19058.4949798584,1.8341657489072531,0.00029979861333333333,0.11464137,1.4666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,,,,,
7,28672,35,2767.881599691582,1948.2020054652082,1.5142857142857142,803.6285714285714,-0.03249608168425766,15600.867091655731,1.8205769313499331,0.00029975833599999997,0.009003758,1.4,0.7142857142857143,0.2857142857142857,0.0,0.0,,,,,
8,32768,40,2785.5345943458897,1963.2973867985033,1.475,810.225,-0.03315675969042786,12135.296057462692,1.826869404874742,0.00029971805866666666,-0.054021955,1.35,0.75,0.25,0.0,0.0,,,,,
9,36864,46,2716.471309877886,1919.185182564372,1.5,787.304347826087,-0.03112674147087091,10108.677180290222,1.7650544724892825,0.0002996777813333333,0.1835168,1.391304347826087,0.7391304347826086,0.2608695652173913,0.0,0.0,,,,,
10,40960,53,2626.507111470784,1868.8261598196298,1.490566037735849,768.1698113207547,-0.0318619466634118,8164.827250957489,1.7765549554023892,0.000299637504,0.3039776,1.3962264150943395,0.7358490566037735,0.2641509433962264,0.0,0.0,,,,,
11,45056,59,2564.8743914210345,1844.197741918652,1.5254237288135593,752.9152542372881,-0.03241163973689254,7267.310374259949,1.733457368100062,0.00029959722666666664,0.4189551,1.4406779661016949,0.711864406779661,0.288135593220339,0.0,0.0,,,,,
12,49152,65,2523.271808576279,1834.7277653386157,1.523076923076923,753.123076923077,-0.03339355519710807,5126.125103414059,1.7756806288380176,0.00029955694933333333,0.44460523,1.4461538461538461,0.7076923076923077,0.2923076923076923,0.0,0.0,,,,,
13,53248,70,2539.5858345099455,1836.8310309603912,1.5,752.6857142857143,-0.028430602980733966,3011.734719336033,1.7002336198929697,0.00029951667199999997,0.38415873,1.4285714285714286,0.7142857142857143,0.2857142857142857,0.0,0.0,,,,,
14,57344,75,2586.2102358814473,1879.0169547457745,1.4933333333333334,764.1733333333333,-0.030908366543371812,10860.914705216885,1.7791530820541084,0.00029947639466666666,0.15821177,1.4133333333333333,0.72,0.28,0.0,0.0,,,,,
