update,timesteps,episodes,mean_reward,mean_score,mean_stage,mean_length,policy_loss,value_loss,entropy,learning_rate,explained_var,mean_start_stage,start_stage_t1_frac,start_stage_t2_frac,start_stage_t3_frac,start_stage_t4_frac,eval_mean_reward,eval_mean_score,eval_mean_max_stage,eval_mean_length,eval_over_max_rate
1,4096,1,23708.75471091537,11884.94905794277,3.0,2341.0,-0.009027634683661745,2112.170638561249,0.8476829574210569,3e-05,0.9137802,1.0,1.0,0.0,0.0,0.0,,,,,
2,8192,3,27498.45227028776,14573.881422677558,4.0,2390.3333333333335,-0.00505984116171021,6073.387869536877,0.8864679326070473,2.999516672e-05,0.93739045,2.0,0.6666666666666666,0.0,0.3333333333333333,0.0,,,,,
3,12288,3,27498.45227028776,14573.881422677558,4.0,2390.3333333333335,-0.004384550094982842,7020.614040493965,0.702949550235644,2.999033344e-05,0.97634727,2.0,0.6666666666666666,0.0,0.3333333333333333,0.0,,,,,
4,16384,3,27498.45227028776,14573.881422677558,4.0,2390.3333333333335,-0.004676274525991175,44374.0419857502,0.700807343237102,2.998550016e-05,0.9751736,2.0,0.6666666666666666,0.0,0.3333333333333333,0.0,,,,,
5,20480,4,68955.2367205169,35730.855610779705,5.75,4215.75,-0.006880012375404476,4075.138903617859,0.7648129751905799,2.998066688e-05,0.97023404,2.0,0.5,0.25,0.25,0.0,,,,,
6,24576,5,82848.66951184864,42929.869592337694,6.6,4759.6,-0.006141383685644541,16950.37486743927,0.790089801652357,2.9975833600000002e-05,0.9723481,2.4,0.4,0.2,0.4,0.0,,,,,
7,28672,6,78770.20660395219,40828.74051544023,7.0,4471.0,-0.003205338916814071,39664.28599393368,0.7947690264554694,2.997100032e-05,0.80535203,3.1666666666666665,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,,,,,
8,32768,7,74471.95245079283,38576.20281191768,6.714285714285714,4396.142857142857,-0.0053161527366683,9353.55135858059,0.8360097835538909,2.996616704e-05,0.96034205,2.857142857142857,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.14285714285714285,,,,,
9,36864,8,75924.90447214071,39572.70868523868,7.0,4404.25,-0.006886610163746809,6331.526023864746,0.8813430464360863,2.996133376e-05,0.9754907,3.125,0.375,0.125,0.375,0.125,,,,,
10,40960,11,61532.48688207393,32020.46273348583,6.818181818181818,3716.7272727272725,-0.004591182328113064,6114.24798309803,0.879699925892055,2.9956500480000002e-05,0.8838776,3.6363636363636362,0.36363636363636365,0.09090909090909091,0.36363636363636365,0.18181818181818182,,,,,
11,45056,12,57886.556734339625,30208.608804462303,6.666666666666667,3530.3333333333335,-0.005066170274403703,9906.41194319725,0.8604549950687215,2.99516672e-05,0.909156,3.6666666666666665,0.3333333333333333,0.08333333333333333,0.4166666666666667,0.16666666666666666,,,,,
12,49152,12,57886.556734339625,30208.608804462303,6.666666666666667,3530.3333333333335,-0.005209640617067635,8886.135111570358,0.7586163188097998,2.994683392e-05,0.980368,3.6666666666666665,0.3333333333333333,0.08333333333333333,0.4166666666666667,0.16666666666666666,,,,,
13,53248,13,65545.44789748458,34113.83101079176,6.923076923076923,3884.769230769231,-0.005102719562273705,11469.222183406353,0.743385634967126,2.994200064e-05,0.9817667,3.5384615384615383,0.3076923076923077,0.15384615384615385,0.38461538461538464,0.15384615384615385,,,,,
14,57344,14,64626.89763099882,33649.424226800424,6.785714285714286,3910.5714285714284,-0.009714297031678143,2479.018875181675,0.8568654479458928,2.9937167360000002e-05,0.95758706,3.357142857142857,0.35714285714285715,0.14285714285714285,0.35714285714285715,0.14285714285714285,,,,,
15,61440,15,64035.80961268532,33444.10890947961,6.733333333333333,3926.5333333333333,-0.0070445863293571165,2932.6684453487396,0.7922091978834942,2.993233408e-05,0.96566087,3.2666666666666666,0.3333333333333333,0.2,0.3333333333333333,0.13333333333333333,,,,,
16,65536,17,61483.28907072212,32137.319835475962,6.588235294117647,3846.1176470588234,-0.003757201213375083,11638.36117196083,0.825434583472088,2.99275008e-05,0.94824076,3.176470588235294,0.35294117647058826,0.17647058823529413,0.35294117647058826,0.11764705882352941,,,,,
17,69632,18,58239.0596976679,30468.823491760013,6.611111111111111,3656.8888888888887,-0.007215011475636857,2503.681514084339,0.7638738704845309,2.992266752e-05,0.9736797,3.388888888888889,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,,,,,
18,73728,19,59756.40117952192,31229.746969588756,6.631578947368421,3767.7368421052633,-0.007492282724342658,4504.8683705329895,0.7042490589665249,2.9917834240000002e-05,0.9715348,3.263157894736842,0.3684210526315789,0.15789473684210525,0.3157894736842105,0.15789473684210525,,,,,
19,77824,21,58083.78691582812,30336.708397410526,6.571428571428571,3654.1428571428573,-0.004800752856681356,8427.837177813053,0.8896831705933437,2.991300096e-05,0.95723504,3.2857142857142856,0.3333333333333333,0.19047619047619047,0.3333333333333333,0.14285714285714285,,,,,
20,81920,21,58083.78691582812,30336.708397410526,6.571428571428571,3654.1428571428573,-0.004860995683884539,5176.0391573905945,0.7503390728961676,2.990816768e-05,0.96403784,3.2857142857142856,0.3333333333333333,0.19047619047619047,0.3333333333333333,0.14285714285714285,,,,,
