timestep,episodes,mean_reward,mean_score,mean_stage,mean_length,q1_loss,q2_loss,policy_loss,alpha,entropy,eval_stage1_mean_stage,eval_stage1_mean_reward,eval_stage3_mean_stage,eval_stage3_mean_reward,eval_stage5_mean_stage,eval_stage5_mean_reward,eval_overall_mean_stage,eval_overall_mean_reward
138000,150,4983.3704870126585,3099.9785350897932,1.37,919.41,300.1448592376709,276.0124321746826,-618.7436450195313,0.7844406366348267,0.5494086456298828,,,,,,,,
139000,150,4983.3704870126585,3099.9785350897932,1.37,919.41,239.15230934143065,225.96238082885742,-614.7471258544922,0.7761091589927673,0.5510294076800346,,,,,,,,
140000,151,5108.615512415668,3171.2386722940973,1.39,931.53,280.3588511657715,288.3365982055664,-618.9667395019532,0.7772454619407654,0.5550454699993134,,,,,,,,
141000,152,5182.621011053584,3210.9240817034215,1.4,940.83,262.14035507202146,253.1985250854492,-617.1375836181641,0.7900691628456116,0.5493865025043487,,,,,,,,
142000,152,5182.621011053584,3210.9240817034215,1.4,940.83,334.0496116638184,334.02263259887695,-612.7662255859375,0.7977641820907593,0.551747718155384,,,,,,,,
143000,153,5233.981968638931,3237.5717187652417,1.41,947.73,351.9956900787354,321.89861892700196,-614.5740838623046,0.7980983853340149,0.54425627887249,,,,,,,,
144000,154,5283.297319855819,3262.2614553205663,1.42,953.03,262.78259704589846,285.94108268737796,-617.454912109375,0.7971705198287964,0.5541638925671577,,,,,,,,
145000,155,5352.800309798123,3296.884469416027,1.43,960.33,310.8662112426758,347.6371788024902,-613.9049938964844,0.7893005013465881,0.5581168365478516,,,,,,,,
146000,157,5262.811346373058,3243.5420726529683,1.42,950.43,249.72736511230468,220.25665008544922,-612.0739215087891,0.7903004884719849,0.5569728383421898,,,,,,,,
147000,158,5254.559782620233,3238.1968503058224,1.42,948.01,340.9135265350342,343.91651901245115,-608.1115948486328,0.8093439340591431,0.5439969086647034,,,,,,,,
148000,160,5246.753639656452,3235.6621897846635,1.42,946.85,288.3871720123291,314.5284014129639,-608.094937133789,0.7955543398857117,0.559111876487732,,,,,,,,
149000,161,5250.080923578892,3237.6714110657645,1.42,945.71,270.5627194213867,304.3751933670044,-609.678715209961,0.8012495636940002,0.5477321243286133,,,,,,,,
150000,163,5246.054955531793,3237.0750145327097,1.42,944.49,256.2457244873047,250.93654777526856,-611.2783374023437,0.8067706823348999,0.5561666932702064,,,,,,,,
151000,164,5239.334103539703,3233.3702016875523,1.42,942.49,215.97622100830077,213.3076357269287,-608.9311077880859,0.8067193627357483,0.553035297691822,,,,,,,,
152000,164,5239.334103539703,3233.3702016875523,1.42,942.49,327.82983291625976,313.0544651031494,-616.3943865966797,0.8128963708877563,0.552111241221428,,,,,,,,
153000,166,5293.38827834767,3258.589345675977,1.43,945.36,231.14368896484376,255.45891723632812,-607.47373046875,0.7808851599693298,0.5427544614672661,,,,,,,,
154000,166,5293.38827834767,3258.589345675977,1.43,945.36,253.8275259399414,276.44328605651856,-606.6125848388672,0.7802822589874268,0.5437530094385147,,,,,,,,
155000,168,5226.561948929948,3223.580859686752,1.42,935.9,290.4298585510254,273.70914321899414,-605.1863879394531,0.7774542570114136,0.5564003878831864,,,,,,,,
156000,168,5226.561948929948,3223.580859686752,1.42,935.9,323.5679376220703,302.8159792327881,-604.7237145996094,0.7778581380844116,0.5395676189661026,,,,,,,,
157000,169,5302.063267040924,3266.6768783165003,1.43,945.97,321.67765045166016,339.3187986755371,-601.0161737060547,0.7679282426834106,0.5592449563741684,,,,,,,,
158000,171,5354.254622909002,3292.273719116434,1.44,950.83,254.7142350769043,260.6495657348633,-601.9339379882813,0.7485700845718384,0.5686831530928612,,,,,,,,
159000,172,5376.63001458393,3303.49664313832,1.44,952.83,275.79544998168944,274.98472473144534,-599.0285064697266,0.7671517729759216,0.5613618677854538,,,,,,,,
