update,timesteps,episodes,mean_reward,mean_score,mean_stage,mean_length,policy_loss,value_loss,entropy,learning_rate,explained_var,mean_start_stage,start_stage_t1_frac,start_stage_t2_frac,start_stage_t3_frac,start_stage_t4_frac,eval_mean_reward,eval_mean_score,eval_mean_max_stage,eval_mean_length,eval_over_max_rate
1,4096,5,1052.3081290346977,1684.589266088149,1.6,697.6,-0.04635809007595526,24294.8487739563,1.8769904794171453,0.0003,0.0010263324,1.6,0.6,0.4,0.0,0.0,,,,,
2,8192,11,1214.5160744982334,1578.745534468379,1.6363636363636365,710.1818181818181,-0.03586703631663113,16826.50577735901,1.901355788577348,0.00029995972266666667,-0.09821677,1.6363636363636365,0.6363636363636364,0.36363636363636365,0.0,0.0,,,,,
3,12288,16,1308.6734421720398,1645.3131263038026,1.5625,730.875,-0.04106561326989322,12325.269156455994,1.865997256245464,0.0002999194453333333,0.026349843,1.5625,0.625,0.375,0.0,0.0,,,,,
4,16384,22,1327.7813067705547,1642.0337237839528,1.5,743.3636363636364,-0.0322179665126896,17032.00771546364,1.8904144004918635,0.000299879168,-0.039593935,1.4545454545454546,0.6818181818181818,0.3181818181818182,0.0,0.0,,,,,
5,20480,28,1265.17429112473,1581.0538932468828,1.5357142857142858,713.2142857142857,-0.036926704644429265,13247.438737869263,1.8504241046030074,0.00029983889066666664,0.23175472,1.5,0.6785714285714286,0.32142857142857145,0.0,0.0,,,,,
6,24576,33,1436.7303484428976,1689.5162060224955,1.5454545454545454,737.8484848484849,-0.035224512447712186,14191.43686413765,1.8302142075262964,0.00029979861333333333,0.039847553,1.4848484848484849,0.6666666666666666,0.3333333333333333,0.0,0.0,,,,,
7,28672,37,1579.3190556493598,1788.5628680777008,1.5675675675675675,770.2972972972973,-0.025025727092724992,15057.341596364975,1.8499617038760334,0.00029975833599999997,0.14734405,1.4864864864864864,0.6756756756756757,0.32432432432432434,0.0,0.0,,,,,
8,32768,41,1715.3365738060356,1855.9224635026012,1.5609756097560976,790.0,-0.028268871870750445,10138.06271803379,1.8230982238892466,0.00029971805866666666,0.20031726,1.4634146341463414,0.6829268292682927,0.3170731707317073,0.0,0.0,,,,,
9,36864,46,1681.244923730225,1838.0117717341323,1.5434782608695652,792.4782608695652,-0.04339429122774163,3099.0917205810547,1.8784917728044093,0.0002996777813333333,0.22302008,1.4565217391304348,0.6739130434782609,0.32608695652173914,0.0,0.0,,,,,
10,40960,50,1816.3627418723065,1902.3056017350398,1.56,807.24,-0.02521631798663293,11272.991871833801,1.8287679958157241,0.000299637504,0.2165643,1.46,0.68,0.32,0.0,0.0,,,,,
11,45056,57,1738.2859585800518,1836.0061278468097,1.5263157894736843,789.0877192982456,-0.04462308877009491,3562.0729016661644,1.8874718493316323,0.00029959722666666664,0.36095417,1.4385964912280702,0.7017543859649122,0.2982456140350877,0.0,0.0,,,,,
12,49152,62,1721.1270772681992,1816.1649657520973,1.5483870967741935,783.5645161290323,-0.03310283867904218,3146.3471276909113,1.8535546152852476,0.00029955694933333333,0.31616306,1.467741935483871,0.6935483870967742,0.3064516129032258,0.0,0.0,,,,,
